adult,budget,genres,original_language,popularity,revenue,runtime,vote_average,vote_count,release_strategy,director_popularity,lead_actor_popularity,avg_top5_cast_popularity,imdb_rating,imdb_votes,period,roi,collection_flag,production_companies_count_cat,origin_country_count_cat,production_countries_count_cat,spoken_languages_count_cat
0,20000000,"['Action', 'Crime', 'Adventure', 'Thriller']",en,2.3535,12600000,115,6.0,2213,theatrical,0.9091,3.4961,5.9464,6.3,80659.0,Before COVID,-0.37,0,2,1,1,1
0,10000000,"['Horror', 'Thriller']",en,3.3722,78903124,87,5.3,1428,theatrical,,,,,,Before COVID,6.8903124,1,2,1,1,1
0,175000000,"['Animation', 'Family', 'Adventure', 'Drama', 'Comedy']",en,13.1204,857611174,95,7.9,22937,theatrical,,,,,,Before COVID,3.90063528,1,1,1,1,1
0,95000000,"['Romance', 'Fantasy', 'Family', 'Drama']",en,17.1816,543514353,105,6.8,7253,theatrical,,,,,,Before COVID,4.721203715789474,0,2,1,2,1
0,73000000,"['Animation', 'Adventure', 'Comedy', 'Family']",en,9.3745,349779543,97,6.246,3853,theatrical,1.6992,4.0728,3.2954,6.3,114052.0,Before COVID,3.791500589041096,1,2,1,2,1
0,21000000,['Horror'],en,8.5323,113118226,100,5.7,3332,theatrical,2.0243,3.887,2.57752,5.7,103505.0,Before COVID,4.38658219047619,1,2,1,1,1
0,13000000,"['Thriller', 'Horror']",en,3.3316,1784763,91,5.366,798,theatrical,,,,,,Before COVID,-0.8627105384615384,0,2,1,1,2
0,11000000,['Drama'],en,0.7567,1400000,105,6.4,353,streaming,,,,,,Before COVID,-0.8727272727272727,0,2,1,2,2
0,15000000,"['Drama', 'Adventure', 'History']",en,3.6153,1592853,128,5.9,292,theatrical,,,,,,Before COVID,-0.8938098,0,2,1,2,2
0,190000000,"['Adventure', 'Family', 'Mystery', 'Science Fiction']",en,15.5402,209200000,130,6.287,7204,theatrical,,,,,,Before COVID,0.10105263157894737,0,2,1,1,1
0,80000000,"['Animation', 'Comedy', 'Family', 'Fantasy']",en,7.3115,473200000,89,6.8,5975,theatrical,,,,,,Before COVID,4.915,1,2,1,1,1
0,120000000,"['Action', 'Adventure', 'Science Fiction']",en,4.5891,167977596,100,4.4,6271,theatrical,,,,,,Before COVID,0.3998133,0,2,1,2,1
0,230000000,"['Adventure', 'Action', 'Fantasy']",en,9.9619,795922298,129,6.653,12490,theatrical,1.9251,9.0283,4.93968,6.5,375969.0,Before COVID,2.4605317304347825,1,2,1,1,1
